"","","","","","","","","H & W OPERATIONAL DASHBOARD","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Week 49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pharmacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Store Detail","RX Exp Track","CET GOAL (Pharmacy only)","TY Rx Count / Store","Rx Count % Change","4 Week Rolling Script Change TY vs. LY","RTS % (Average)","AutoFill %"," % Orders 'Instore'","Avg 'Instore' Order Performance","Avg 'Instore' OP w/ resolution","% Orders 'Instore' On Time","Avg 'Instore' OP (12-WK Avg)"," % Patient Expectations Met","Partial Fill %","Out Of Stock %","Easy Pay Transactions / Store","Input Rerouting %","Input Quality (IA)"," S3G Rph %  w/out Time Off","Avg Rx Sales / Store","Avg OTC Sales / Store","OTC Sales Increase (Avg)","OTC Sales Increase (12-WK Avg)","Outs","OTC EI Retail / Store","OTC EI Retail Inc","Rx EI Cost / Store","Rx EI Cost Inc","Inventory Turn","MTM - Net Effective Rate","Discount Card - Total Rx Sold (Monthly)","Discount Card - Total $ Loss (Monthly)","Total Point","Overall Rank"
"","Total Market","8.8155523535062","","2035.3636363636","-0.00049107142857141","0.00033082314020816","0.073310800864632","0","0.28101818181818","20.545454545455","23.272727272727","0.68729090909091","21.515151515152","0.83328181818182","0.005327254769747","0.045408686814626","38.818181818182","0.96403059293634","0.95379936479007","","108307.12272727","79948.951590909","0.023546269524774","0.055223205414447","158.27272727273","391376.81727273","0.12994136384792","586508.32818182","0.014958826160886","9.1225147115208","0.27910458116661","8979","-77224.19","",""
"","147","8.71","9.04","1807","-0.047443331576173","-0.045410060677236","0.069521410579345","0","0.2298","27","31","0.4078","30.583333333333","0.6547","0.002865329512894","0.039398280802292","44","1","0.97164765557854","","89827.1525","85771.93","0.02263056768796","0.059343434317688","168","397536.33","0.0048217938896191","551812.71","-0.041491751191233","8.2322083442198","0.056603773584906","886","-7694.54","32","9"
"","158","8.96","9.1","2002","0.049266247379455","-0.064858381769536","0.060578246902249","0","0.2896","19","22","0.663","25.583333333333","0.8384","0.007700385019251","0.04025201260063","29","0.91176470588235","0.97485222700592","","103546.875","52948.0575","-0.026807085549137","-0.026553181929196","98","246882.95","0.050526361118121","469428.03","-0.043904564072889","10.700298232759","0.060240963855422","743","-6533.13","23","5"
"","185","8.69","8.73","2984","0.0084488002703615","-0.018349222933264","0.064287911411873","0","0.2465","16","19","0.7893","15.333333333333","0.9078","0.0016389604308125","0.047998126902365","45","0.96062992125984","0.94166302176895","","133404.495","98741.92","0.0072842844530698","0.12613901000199","193","453069.06","0.13026504417278","601532.31","-0.044307435837271","10.464686339748","0.093333333333333","1216","-11210.46","24","6"
